Key-Generation-Duration
ECDSA,111 µs,53 µs,52 µs,52 µs,53 µs,52 µs,52 µs,52 µs,53 µs,52 µs,53 µs,71 µs,52 µs,52 µs,53 µs,51 µs,52 µs,50 µs,52 µs,52 µs,52 µs,89 µs,55 µs,55 µs,55 µs,56 µs,82 µs,49 µs,48 µs,48 µs,48 µs,48 µs,48 µs,48 µs,49 µs,48 µs,48 µs,48 µs,47 µs,48 µs,48 µs,47 µs,48 µs,48 µs,48 µs,48 µs,48 µs,48 µs,48 µs,48 µs,49 µs,48 µs,49 µs,49 µs,48 µs,48 µs,47 µs,48 µs,48 µs,48 µs,48 µs,48 µs,48 µs,47 µs,48 µs,48 µs,48 µs,50 µs,50 µs,48 µs,49 µs,48 µs,49 µs,49 µs,49 µs,49 µs,48 µs,50 µs,48 µs,49 µs,49 µs,49 µs,49 µs,49 µs,48 µs,48 µs,49 µs,48 µs,48 µs,48 µs,57 µs,88 µs,41 µs,37 µs,49 µs,37 µs,36 µs,37 µs,36 µs,36 µs,
EDDSA,57 µs,39 µs,37 µs,37 µs,37 µs,38 µs,38 µs,38 µs,38 µs,38 µs,37 µs,37 µs,37 µs,37 µs,38 µs,39 µs,38 µs,38 µs,38 µs,38 µs,38 µs,38 µs,40 µs,40 µs,40 µs,39 µs,38 µs,38 µs,38 µs,38 µs,37 µs,37 µs,37 µs,37 µs,39 µs,39 µs,38 µs,37 µs,38 µs,37 µs,38 µs,39 µs,39 µs,41 µs,50 µs,38 µs,38 µs,38 µs,39 µs,37 µs,37 µs,38 µs,57 µs,38 µs,37 µs,38 µs,37 µs,36 µs,45 µs,39 µs,37 µs,39 µs,69 µs,35 µs,42 µs,45 µs,39 µs,44 µs,45 µs,44 µs,44 µs,45 µs,40 µs,44 µs,45 µs,44 µs,44 µs,44 µs,44 µs,45 µs,45 µs,44 µs,44 µs,44 µs,44 µs,44 µs,63 µs,46 µs,45 µs,44 µs,44 µs,44 µs,45 µs,46 µs,44 µs,44 µs,44 µs,45 µs,59 µs,45 µs,
Key-Blinding-Duration
ECDSA,984 µs,759 µs,652 µs,481 µs,478 µs,454 µs,460 µs,446 µs,476 µs,431 µs,428 µs,435 µs,435 µs,431 µs,455 µs,396 µs,403 µs,408 µs,397 µs,401 µs,406 µs,452 µs,432 µs,478 µs,414 µs,459 µs,547 µs,459 µs,458 µs,454 µs,448 µs,439 µs,457 µs,514 µs,433 µs,642 µs,426 µs,482 µs,690 µs,720 µs,958 µs,690 µs,506 µs,414 µs,414 µs,413 µs,465 µs,462 µs,430 µs,403 µs,392 µs,385 µs,392 µs,389 µs,393 µs,384 µs,498 µs,407 µs,388 µs,399 µs,393 µs,388 µs,387 µs,395 µs,392 µs,388 µs,472 µs,402 µs,389 µs,384 µs,391 µs,396 µs,428 µs,388 µs,476 µs,946 µs,663 µs,680 µs,503 µs,705 µs,518 µs,436 µs,472 µs,411 µs,391 µs,385 µs,397 µs,389 µs,390 µs,396 µs,389 µs,432 µs,519 µs,460 µs,394 µs,381 µs,426 µs,453 µs,476 µs,518 µs,
EDDSA,820 µs,455 µs,415 µs,400 µs,427 µs,456 µs,416 µs,403 µs,397 µs,453 µs,401 µs,401 µs,407 µs,381 µs,408 µs,398 µs,436 µs,416 µs,404 µs,497 µs,419 µs,390 µs,392 µs,388 µs,422 µs,417 µs,385 µs,392 µs,466 µs,389 µs,404 µs,383 µs,400 µs,392 µs,394 µs,385 µs,388 µs,408 µs,509 µs,443 µs,415 µs,391 µs,393 µs,394 µs,401 µs,396 µs,383 µs,401 µs,497 µs,403 µs,396 µs,383 µs,385 µs,392 µs,394 µs,397 µs,392 µs,398 µs,506 µs,435 µs,392 µs,389 µs,396 µs,391 µs,393 µs,438 µs,388 µs,390 µs,488 µs,389 µs,393 µs,387 µs,390 µs,389 µs,454 µs,532 µs,451 µs,428 µs,395 µs,404 µs,407 µs,401 µs,400 µs,406 µs,405 µs,449 µs,445 µs,427 µs,408 µs,416 µs,394 µs,388 µs,404 µs,396 µs,399 µs,399 µs,454 µs,407 µs,389 µs,397 µs,
Signing-Duration
ECDSA,1091 µs,790 µs,747 µs,884 µs,715 µs,721 µs,737 µs,746 µs,842 µs,715 µs,708 µs,747 µs,817 µs,808 µs,976 µs,837 µs,755 µs,745 µs,789 µs,728 µs,760 µs,727 µs,722 µs,791 µs,731 µs,741 µs,766 µs,764 µs,876 µs,885 µs,767 µs,733 µs,730 µs,766 µs,846 µs,875 µs,734 µs,767 µs,742 µs,1025 µs,725 µs,725 µs,706 µs,711 µs,768 µs,729 µs,764 µs,739 µs,729 µs,786 µs,700 µs,701 µs,714 µs,721 µs,728 µs,699 µs,728 µs,738 µs,717 µs,727 µs,761 µs,718 µs,718 µs,743 µs,768 µs,744 µs,744 µs,729 µs,938 µs,748 µs,724 µs,844 µs,751 µs,788 µs,728 µs,735 µs,930 µs,711 µs,765 µs,717 µs,709 µs,831 µs,712 µs,717 µs,711 µs,708 µs,754 µs,748 µs,727 µs,757 µs,756 µs,744 µs,1375 µs,872 µs,776 µs,762 µs,848 µs,771 µs,765 µs,774 µs,
EDDSA,129 µs,115 µs,112 µs,114 µs,114 µs,123 µs,135 µs,130 µs,114 µs,114 µs,139 µs,132 µs,112 µs,115 µs,114 µs,119 µs,114 µs,112 µs,114 µs,114 µs,114 µs,114 µs,112 µs,114 µs,139 µs,132 µs,114 µs,112 µs,113 µs,114 µs,113 µs,116 µs,112 µs,114 µs,114 µs,114 µs,114 µs,111 µs,114 µs,114 µs,114 µs,114 µs,112 µs,114 µs,121 µs,218 µs,138 µs,163 µs,160 µs,179 µs,212 µs,123 µs,115 µs,118 µs,139 µs,115 µs,113 µs,112 µs,114 µs,114 µs,114 µs,114 µs,112 µs,113 µs,113 µs,113 µs,113 µs,112 µs,113 µs,113 µs,114 µs,114 µs,112 µs,114 µs,114 µs,114 µs,205 µs,129 µs,139 µs,115 µs,116 µs,138 µs,112 µs,114 µs,113 µs,114 µs,113 µs,111 µs,114 µs,114 µs,114 µs,113 µs,112 µs,113 µs,114 µs,113 µs,114 µs,112 µs,114 µs,114 µs,
Verifying-Duration
ECDSA,701 µs,649 µs,510 µs,516 µs,512 µs,508 µs,502 µs,540 µs,618 µs,591 µs,521 µs,520 µs,511 µs,563 µs,505 µs,512 µs,547 µs,511 µs,515 µs,527 µs,524 µs,517 µs,516 µs,543 µs,527 µs,533 µs,526 µs,518 µs,612 µs,522 µs,606 µs,531 µs,512 µs,518 µs,523 µs,518 µs,539 µs,578 µs,568 µs,620 µs,673 µs,518 µs,511 µs,504 µs,535 µs,537 µs,600 µs,519 µs,525 µs,540 µs,523 µs,527 µs,529 µs,764 µs,605 µs,553 µs,497 µs,520 µs,521 µs,575 µs,691 µs,583 µs,515 µs,525 µs,523 µs,515 µs,521 µs,535 µs,594 µs,520 µs,648 µs,579 µs,523 µs,531 µs,583 µs,611 µs,514 µs,520 µs,535 µs,519 µs,504 µs,515 µs,597 µs,524 µs,521 µs,528 µs,523 µs,526 µs,584 µs,630 µs,625 µs,545 µs,563 µs,512 µs,506 µs,509 µs,550 µs,551 µs,537 µs,517 µs,
EDDSA,65 µs,57 µs,56 µs,56 µs,56 µs,79 µs,56 µs,55 µs,55 µs,56 µs,56 µs,55 µs,55 µs,55 µs,55 µs,55 µs,56 µs,56 µs,54 µs,56 µs,54 µs,55 µs,55 µs,55 µs,55 µs,55 µs,55 µs,55 µs,54 µs,55 µs,55 µs,55 µs,56 µs,55 µs,55 µs,55 µs,54 µs,55 µs,55 µs,54 µs,54 µs,58 µs,55 µs,55 µs,55 µs,55 µs,55 µs,55 µs,55 µs,55 µs,55 µs,54 µs,56 µs,55 µs,54 µs,54 µs,54 µs,54 µs,144 µs,56 µs,56 µs,55 µs,55 µs,55 µs,55 µs,55 µs,55 µs,56 µs,55 µs,56 µs,55 µs,55 µs,55 µs,54 µs,55 µs,55 µs,55 µs,54 µs,55 µs,54 µs,55 µs,55 µs,55 µs,54 µs,55 µs,56 µs,55 µs,55 µs,55 µs,54 µs,55 µs,54 µs,54 µs,55 µs,55 µs,55 µs,60 µs,56 µs,55 µs,56 µs,
,
