Key-Generation-Duration
Picnic_L1_FS,252 µs,163 µs,157 µs,155 µs,129 µs,52 µs,51 µs,51 µs,52 µs,52 µs,51 µs,52 µs,51 µs,52 µs,52 µs,52 µs,51 µs,51 µs,53 µs,51 µs,51 µs,52 µs,51 µs,52 µs,51 µs,55 µs,72 µs,53 µs,53 µs,54 µs,53 µs,53 µs,54 µs,54 µs,53 µs,54 µs,53 µs,53 µs,53 µs,54 µs,53 µs,54 µs,54 µs,53 µs,53 µs,58 µs,80 µs,80 µs,72 µs,77 µs,75 µs,97 µs,79 µs,102 µs,77 µs,100 µs,70 µs,60 µs,62 µs,62 µs,63 µs,76 µs,78 µs,67 µs,53 µs,52 µs,52 µs,53 µs,53 µs,52 µs,57 µs,52 µs,56 µs,75 µs,66 µs,53 µs,53 µs,51 µs,52 µs,51 µs,52 µs,52 µs,53 µs,51 µs,51 µs,53 µs,51 µs,51 µs,53 µs,51 µs,52 µs,52 µs,52 µs,53 µs,52 µs,51 µs,51 µs,52 µs,52 µs,52 µs,
Picnic_L1_UR,52 µs,51 µs,52 µs,52 µs,52 µs,52 µs,88 µs,67 µs,55 µs,53 µs,53 µs,53 µs,53 µs,53 µs,53 µs,52 µs,53 µs,53 µs,53 µs,53 µs,54 µs,53 µs,52 µs,53 µs,53 µs,53 µs,53 µs,53 µs,53 µs,54 µs,53 µs,52 µs,53 µs,53 µs,60 µs,133 µs,92 µs,54 µs,54 µs,54 µs,54 µs,54 µs,54 µs,54 µs,75 µs,51 µs,51 µs,52 µs,51 µs,52 µs,52 µs,52 µs,52 µs,52 µs,52 µs,52 µs,52 µs,51 µs,53 µs,52 µs,52 µs,52 µs,52 µs,53 µs,52 µs,51 µs,52 µs,52 µs,52 µs,52 µs,51 µs,52 µs,52 µs,52 µs,52 µs,51 µs,51 µs,52 µs,52 µs,53 µs,52 µs,51 µs,52 µs,51 µs,51 µs,51 µs,52 µs,51 µs,52 µs,52 µs,52 µs,51 µs,52 µs,51 µs,51 µs,51 µs,51 µs,51 µs,54 µs,52 µs,
Picnic_L3_FS,125 µs,104 µs,103 µs,181 µs,202 µs,124 µs,104 µs,102 µs,102 µs,102 µs,103 µs,103 µs,101 µs,104 µs,104 µs,102 µs,108 µs,104 µs,103 µs,104 µs,102 µs,101 µs,102 µs,199 µs,106 µs,107 µs,151 µs,117 µs,116 µs,116 µs,115 µs,114 µs,115 µs,114 µs,114 µs,116 µs,117 µs,358 µs,123 µs,117 µs,115 µs,117 µs,114 µs,139 µs,118 µs,148 µs,153 µs,117 µs,117 µs,138 µs,105 µs,103 µs,102 µs,104 µs,101 µs,128 µs,103 µs,114 µs,103 µs,104 µs,103 µs,105 µs,104 µs,103 µs,105 µs,127 µs,106 µs,103 µs,103 µs,102 µs,106 µs,216 µs,112 µs,114 µs,140 µs,106 µs,105 µs,103 µs,103 µs,106 µs,104 µs,103 µs,292 µs,217 µs,293 µs,150 µs,151 µs,248 µs,359 µs,179 µs,168 µs,143 µs,120 µs,121 µs,147 µs,169 µs,150 µs,130 µs,132 µs,147 µs,
Picnic_L3_UR,174 µs,148 µs,134 µs,106 µs,104 µs,105 µs,106 µs,105 µs,105 µs,105 µs,104 µs,107 µs,105 µs,106 µs,106 µs,105 µs,106 µs,105 µs,104 µs,107 µs,105 µs,105 µs,107 µs,105 µs,106 µs,106 µs,104 µs,105 µs,105 µs,104 µs,294 µs,109 µs,107 µs,108 µs,128 µs,104 µs,102 µs,103 µs,102 µs,103 µs,105 µs,104 µs,102 µs,104 µs,103 µs,103 µs,102 µs,102 µs,107 µs,102 µs,103 µs,103 µs,101 µs,103 µs,103 µs,103 µs,102 µs,102 µs,102 µs,103 µs,104 µs,102 µs,102 µs,101 µs,102 µs,104 µs,109 µs,206 µs,108 µs,127 µs,108 µs,104 µs,102 µs,102 µs,104 µs,102 µs,102 µs,103 µs,103 µs,103 µs,102 µs,102 µs,102 µs,103 µs,102 µs,102 µs,104 µs,103 µs,123 µs,108 µs,124 µs,107 µs,108 µs,106 µs,106 µs,107 µs,105 µs,106 µs,112 µs,105 µs,
Picnic_L5_FS,220 µs,224 µs,246 µs,184 µs,265 µs,214 µs,212 µs,222 µs,198 µs,183 µs,181 µs,178 µs,189 µs,172 µs,172 µs,169 µs,169 µs,169 µs,169 µs,170 µs,172 µs,219 µs,254 µs,179 µs,181 µs,202 µs,170 µs,171 µs,169 µs,171 µs,185 µs,170 µs,171 µs,171 µs,169 µs,222 µs,202 µs,171 µs,170 µs,170 µs,169 µs,172 µs,169 µs,171 µs,284 µs,230 µs,175 µs,197 µs,169 µs,168 µs,168 µs,168 µs,169 µs,168 µs,169 µs,167 µs,169 µs,170 µs,169 µs,168 µs,168 µs,169 µs,169 µs,168 µs,169 µs,169 µs,174 µs,283 µs,179 µs,202 µs,169 µs,169 µs,168 µs,168 µs,170 µs,168 µs,168 µs,169 µs,171 µs,171 µs,169 µs,169 µs,169 µs,192 µs,174 µs,175 µs,258 µs,173 µs,249 µs,212 µs,174 µs,174 µs,174 µs,191 µs,169 µs,171 µs,169 µs,169 µs,169 µs,171 µs,
Picnic_L5_UR,169 µs,169 µs,267 µs,212 µs,194 µs,168 µs,169 µs,169 µs,171 µs,171 µs,276 µs,202 µs,181 µs,197 µs,169 µs,169 µs,169 µs,168 µs,171 µs,172 µs,169 µs,171 µs,171 µs,288 µs,175 µs,178 µs,172 µs,171 µs,172 µs,171 µs,169 µs,182 µs,285 µs,174 µs,173 µs,194 µs,169 µs,169 µs,171 µs,170 µs,171 µs,168 µs,171 µs,172 µs,169 µs,169 µs,170 µs,209 µs,171 µs,171 µs,169 µs,171 µs,171 µs,170 µs,326 µs,184 µs,183 µs,198 µs,169 µs,169 µs,172 µs,169 µs,169 µs,169 µs,169 µs,169 µs,168 µs,169 µs,171 µs,169 µs,169 µs,168 µs,169 µs,169 µs,171 µs,192 µs,222 µs,246 µs,191 µs,211 µs,173 µs,173 µs,201 µs,306 µs,226 µs,202 µs,201 µs,196 µs,188 µs,171 µs,169 µs,169 µs,193 µs,174 µs,173 µs,174 µs,200 µs,194 µs,177 µs,174 µs,
Picnic3_L1,38 µs,35 µs,35 µs,35 µs,35 µs,34 µs,51 µs,34 µs,34 µs,34 µs,34 µs,33 µs,33 µs,54 µs,57 µs,50 µs,51 µs,34 µs,34 µs,33 µs,34 µs,34 µs,34 µs,34 µs,34 µs,34 µs,34 µs,34 µs,34 µs,34 µs,33 µs,34 µs,33 µs,33 µs,34 µs,34 µs,34 µs,33 µs,35 µs,34 µs,34 µs,35 µs,35 µs,34 µs,34 µs,34 µs,34 µs,33 µs,34 µs,33 µs,33 µs,34 µs,34 µs,34 µs,35 µs,51 µs,34 µs,35 µs,35 µs,34 µs,73 µs,34 µs,35 µs,34 µs,65 µs,37 µs,37 µs,36 µs,37 µs,37 µs,37 µs,37 µs,36 µs,37 µs,37 µs,37 µs,63 µs,35 µs,35 µs,35 µs,35 µs,35 µs,34 µs,34 µs,35 µs,34 µs,36 µs,34 µs,35 µs,35 µs,35 µs,52 µs,57 µs,34 µs,33 µs,34 µs,35 µs,34 µs,35 µs,34 µs,
Picnic3_L3,37 µs,36 µs,36 µs,37 µs,36 µs,36 µs,36 µs,36 µs,36 µs,36 µs,36 µs,36 µs,36 µs,36 µs,36 µs,36 µs,37 µs,36 µs,36 µs,36 µs,36 µs,36 µs,36 µs,37 µs,36 µs,36 µs,36 µs,36 µs,36 µs,36 µs,37 µs,36 µs,37 µs,36 µs,36 µs,36 µs,37 µs,36 µs,37 µs,36 µs,36 µs,36 µs,36 µs,36 µs,36 µs,36 µs,36 µs,36 µs,36 µs,36 µs,36 µs,36 µs,36 µs,37 µs,36 µs,36 µs,36 µs,36 µs,36 µs,36 µs,36 µs,35 µs,35 µs,36 µs,36 µs,37 µs,36 µs,36 µs,36 µs,35 µs,36 µs,36 µs,36 µs,36 µs,36 µs,36 µs,36 µs,36 µs,36 µs,36 µs,36 µs,36 µs,36 µs,36 µs,36 µs,36 µs,37 µs,36 µs,36 µs,36 µs,36 µs,36 µs,36 µs,37 µs,36 µs,36 µs,35 µs,36 µs,36 µs,36 µs,
Picnic3_L5,457 µs,363 µs,443 µs,356 µs,372 µs,346 µs,346 µs,383 µs,346 µs,346 µs,446 µs,347 µs,346 µs,346 µs,346 µs,346 µs,346 µs,346 µs,367 µs,363 µs,346 µs,388 µs,396 µs,346 µs,347 µs,346 µs,346 µs,346 µs,346 µs,346 µs,367 µs,356 µs,356 µs,426 µs,348 µs,384 µs,345 µs,346 µs,347 µs,346 µs,346 µs,460 µs,346 µs,349 µs,448 µs,346 µs,346 µs,347 µs,450 µs,467 µs,359 µs,347 µs,346 µs,346 µs,386 µs,347 µs,346 µs,346 µs,346 µs,346 µs,346 µs,346 µs,346 µs,463 µs,346 µs,451 µs,346 µs,346 µs,347 µs,346 µs,346 µs,347 µs,349 µs,347 µs,346 µs,346 µs,372 µs,356 µs,364 µs,346 µs,346 µs,346 µs,346 µs,346 µs,346 µs,346 µs,346 µs,347 µs,386 µs,353 µs,347 µs,383 µs,352 µs,346 µs,346 µs,346 µs,468 µs,346 µs,346 µs,449 µs,
Picnic_L1_full,36 µs,34 µs,34 µs,34 µs,34 µs,34 µs,33 µs,34 µs,33 µs,34 µs,34 µs,34 µs,33 µs,33 µs,33 µs,34 µs,34 µs,34 µs,34 µs,34 µs,34 µs,34 µs,34 µs,34 µs,33 µs,34 µs,33 µs,34 µs,34 µs,33 µs,34 µs,35 µs,34 µs,34 µs,34 µs,34 µs,34 µs,33 µs,34 µs,33 µs,34 µs,34 µs,33 µs,34 µs,34 µs,34 µs,33 µs,34 µs,33 µs,34 µs,33 µs,33 µs,34 µs,35 µs,33 µs,35 µs,34 µs,34 µs,33 µs,41 µs,34 µs,34 µs,34 µs,34 µs,35 µs,34 µs,34 µs,33 µs,33 µs,34 µs,34 µs,34 µs,34 µs,33 µs,34 µs,34 µs,35 µs,33 µs,33 µs,33 µs,34 µs,33 µs,33 µs,34 µs,34 µs,34 µs,34 µs,34 µs,34 µs,33 µs,34 µs,35 µs,34 µs,34 µs,34 µs,34 µs,34 µs,34 µs,34 µs,34 µs,
